X,Y,OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1270968.83665827,230022.5648956,1,517578,16,13145,53,-29,BKR-450,BKR,THOMAS ST 0125 BLOCK S SIDE (  38) 38 FT E/O PONTIUS AVE N                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,2009/03/13 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/22 00:00:00+00,S,SDOT,INSVC,DISTRICT7, ,N,,-122.331488624139,47.6207381610803
1282352.75238192,206114.60243912,2,595945,16,12389,23,-27,BKR-3265,BKR,RAINIER AVE S 0510 BLOCK SW SIDE (   0) 0 FT SE/O 39TH N AVE S                                                                                                                                                                                                 ,SGL,2,N,GALV,PCC,2013/03/13 00:00:00+00,SUFMT, , ,BKR-RLRCK, ,,SW,SDOT,INSVC,DISTRICT2, ,N,,-122.283509884809,47.5558045228482
1280915.79545246,248340.700338349,3,591908,16,5121,419,-17,BKR-3223,BKR,33RD AVE NE 0570 BLOCK E SIDE ( 406) 233 FT S/O NE 60TH W ST                                                                                                                                                                                                   ,SGL,4,N,GALV,PCC,2012/11/07 00:00:00+00,SUFMT, ,OTHER,BKR-NCONF,GOOD,2012/10/31 00:00:00+00,E,SDOT,INSVC,DISTRICT4, ,N,,-122.292570661829,47.6714717622671
1281471.17042902,255229.445305407,4,516973,16,5369,65,34,BKR-2626,BKR,35TH AVE NE 0850 BLOCK W SIDE (  52) 52 FT N/O NE 85TH ST                                                                                                                                                                                                      ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,2009/08/14 00:00:00+00,W,SDOT,INSVC,DISTRICT5, ,N,,-122.290846415888,47.6903826026166
1270659.80798595,244886.508014813,5,519102,16,15549,285,28,BKR-1663,BKR,N 45TH ST 0190 BLOCK N SIDE ( 272) 36 FT W/O MERIDIAN AVE N                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/28 00:00:00+00,N,SDOT,INSVC,DISTRICT4, ,N,,-122.333916614652,47.6614632343025
1265487.02826865,253233.795703366,6,741456,16,15855,592,17,BKR-4244,BKR,N 76TH ST 0010 BLOCK N SIDE ( 579) 55 FT W/O GREENWOOD AVE N                                                                                                                                                                                                   ,SGL,2,N,GALV,AC,,SUFMT, , ,BKR-INVRU, ,,N,SDOT,PLANNED,DISTRICT6, ,N,,-122.35557384994,47.6840642836819
1256967.15881993,209221.659658298,7,518333,16,22659,272,-21,BKR-2437,BKR,SW OREGON ST 0420 BLOCK N SIDE ( 259) 41 FT E/O CALIFORNIA AVE SW                                                                                                                                                                                              ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,2009/08/07 00:00:00+00,N,SDOT,INSVC,DISTRICT1, ,N,,-122.386549746211,47.5629629272656
1272436.99953978,237745.241767511,8,517951,16,14298,74,-17,BKR-2151,BKR,E LOUISA ST 0010 BLOCK S SIDE (  61) 50 FT W/O EASTLAKE AVE E                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-ARCRE,BKR-RLRCK,GOOD,2009/07/27 00:00:00+00,S,SDOT,INSVC,DISTRICT4, ,N,,-122.326143944573,47.6419840023383
1269947.91755323,213899.656335086,9,694910,16,1209,451,-37,BKR-3993,BKR,1ST AVE S 0290 BLOCK W SIDE ( 428) 311 FT N/O S HANFORD ST                                                                                                                                                                                                     ,SGL,2,N,GALV,PCC,,SUFMT,NONE, ,BKR-INVRU,GOOD,2017/12/26 00:00:00+00,W, ,INSVC,DISTRICT2, ,N,,-122.33435245984,47.5764912211236
1270198.55089748,223020.098008424,10,516675,16,1185,80,30,BKR-1509,BKR,1ST AVE S 0010 BLOCK E SIDE (  59) 59 FT S/O YESLER WAY                                                                                                                                                                                                        ,SGL,2,N,OTHER,PCC,2019/03/25 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,2019/03/25 00:00:00+00,E,SDOT,INSVC,DISTRICT7, ,N,,-122.334057759454,47.6015034720052
