X,Y,OBJECTID,INTR_ID,GIS_XCOORD,GIS_YCOORD,COMPKEY,COMPTYPE,UNITID,SUBAREA,UNITDESC,ARTERIALCLASSCD,SIGNAL_MAINT_DIST,SIGNAL_TYPE,SHAPE_LNG,SHAPE_LAT
1270709.14878601,194387.95519501,1,18213,1270709.14872,194387.95532,340313,13,78852,GRDWM,4TH AVE S AND S HENDERSON N ST,0, ,NONE,-122.329731968609,47.5230508378271
1282581.59353416,234414.695011988,2,10302,1282581.59341,234414.69508,157936,13,32854,E,WOODROW PL E AND E GARFIELD ST,0, ,NONE,-122.284744716533,47.6333869917716
1261647.53732072,256226.497210324,3,4716,1261647.53719,256226.49721,37264,13,231740,BLRD,12TH AVE NW AND NW 87TH ST,0, ,NONE,-122.371401133201,47.6920578247644
1281380.58284493,228692.212062135,4,11483,1281380.58297,228692.21187,30231,13,42513,CNTRL,34TH AVE AND E HOWELL ST,3, ,NONE,-122.2891759192,47.6176394792265
1274017.16446939,249395.188339338,5,6406,1274017.16434,249395.1884,25752,13,14252,NE,NE 63RD ST AND NE RAVENNA EB BV,1, ,NONE,-122.32064845795,47.6740000518103
1287242.23712294,202871.123267695,6,16530,1287242.23699,202871.12333,33729,13,67744,SE,WILSON AVE S AND S UPLAND RD,2, ,NONE,-122.263467729964,47.5471649433118
1264241.25655538,253504.867127538,7,5330,1264241.25649,253504.86726,24066,13,3124,NW,3RD AVE NW AND NW 77TH ST,3, ,NONE,-122.360652283824,47.6847396116728
1277934.40402541,257254.454779372,8,4483,1277934.40415,257254.45472,37743,13,234718,NE,RAVENNA AVE NE AND NE 92ND ST,1, ,NONE,-122.305361380885,47.6957485844902
1281932.6991975,222116.09723939,9,12577,1281932.6992,222116.09718,35518,13,146652,CNTRL,LAKESIDE UPPER AVE S AND S LESCHI PL,0, ,NONE,-122.286434259581,47.5996429532776
1282909.0843505,199261.560575992,10,17255,1282909.08422,199261.56045,34465,13,73318,SE,42ND AVE S AND S OTHELLO ST,2, ,NONE,-122.280735286765,47.537049005579
1279677.89593118,229184.136542633,11,11382,1279677.896,229184.13661,29288,13,37357,CNTRL,M L KING JR WAY AND E DENNY WAY,3, ,NONE,-122.296116334836,47.6188993313166
1269555.01464082,246211.303664073,12,7287,1269555.0147,246211.3036,25529,13,13331,LKUN,WOODLAWN AVE N AND N 50TH E ST,1, ,NONE,-122.3385041952,47.6650353047907
1256550.3260515,218397.216851592,13,13142,1256550.32605,218397.21692,31112,13,48512,SW,45TH AVE SW AND SW MASSACHUSETTS ST,0, ,NONE,-122.388988942189,47.5880894248319
1269427.81048068,270094.671880528,14,2569,1269427.81035,270094.67182,35732,13,219145,NW,INTERLAKE AVE N AND N 140TH E ST,0, ,NONE,-122.340919003038,47.7304917393143
1281751.56729332,191962.906872526,15,18655,1281751.56717,191962.907,35386,13,80737,GRDWM,38TH AVE S AND S ROXBURY ST,0, ,NONE,-122.284863207755,47.516983590124
1258084.54147707,193925.285818532,16,18291,1258084.54148,193925.28575,34745,13,75336,SW,38TH AVE SW AND SW BARTON W ST,2, ,NONE,-122.380779125042,47.5210982611748
1267941.85771117,242000.12471576,17,8569,1267941.85784,242000.12459,26867,13,22312,LKUN,BRIDGE WAY N AND WOODLAND PK S AVE N,2, ,NONE,-122.344714016666,47.6534059648289
1278731.59372222,217010.192722172,18,13386,1278731.59379,217010.19279,31436,13,52144,SE,26TH AVE S AND S PLUM ST,0, ,NONE,-122.299012562954,47.5854812684778
1277678.22636114,222936.183832243,19,12449,1277678.22623,222936.1837,30732,13,45516,CNTRL,22ND AVE AND E YESLER WAY,2, ,NONE,-122.303738936212,47.6016692761662
1279904.74751543,262411.024832666,20,3522,1279904.74758,262411.02483,36663,13,227318,N,28TH AVE NE AND NE 113TH ST,0, ,NONE,-122.297760256557,47.7099856985239
1259180.27779819,251861.526581854,21,5737,1259180.2778,251861.52645,23923,13,2329,BLRD,19TH AVE NW AND NW CANOE PL,0, ,NONE,-122.381060812427,47.6799581370782
1288086.5189158,248700.779314622,22,6604,1288086.51885,248700.77919,26287,13,17522,NE,60TH AVE NE AND NE 61ST ST,0, ,NONE,-122.263498158886,47.6728277637126
