GEOCODE,PLACE,PLACENAME,P00010001_2010,P00010001,P00010001_d,P00010001_pd,RANK_POP_2010,RANK_POP,RANK_POP_d,RANK_POP_pd,POPDEN_2010,POPDEN,POPDEN_d,POPDEN_pd,H00010001_2010,H00010001,H00010001_d,H00010001_pd,H00010002_2010,H00010002,H00010002_d,H00010002_pd,H00010003_2010,H00010003,H00010003_d,H00010003_pd,OCC_2010,OCC,OCC_d,OCC_pd,VAC_2010,VAC,VAC_d,VAC_pd,LANDSQMI_2010,LANDSQMI,LANDSQMI_d,LANDSQMI_pd,AREASQMI_2010,AREASQMI,AREASQMI_d,AREASQMI_pd,WATERPCT_2010,WATERPCT,WATERPCT_d,WATERPCT_pd,P00010002_2010,P00010002,P00010002_d,P00010002_pd,P00010003_2010,P00010003,P00010003_d,P00010003_pd,P00010004_2010,P00010004,P00010004_d,P00010004_pd,P00010005_2010,P00010005,P00010005_d,P00010005_pd,P00010006_2010,P00010006,P00010006_d,P00010006_pd,P00010007_2010,P00010007,P00010007_d,P00010007_pd,P00010008_2010,P00010008,P00010008_d,P00010008_pd,P00010009_2010,P00010009,P00010009_d,P00010009_pd,P00020001_2010,P00020001,P00020001_d,P00020001_pd,P00020002_2010,P00020002,P00020002_d,P00020002_pd,P00020003_2010,P00020003,P00020003_d,P00020003_pd,P00020004_2010,P00020004,P00020004_d,P00020004_pd,P00020005_2010,P00020005,P00020005_d,P00020005_pd,P00020006_2010,P00020006,P00020006_d,P00020006_pd,P00020007_2010,P00020007,P00020007_d,P00020007_pd,P00020008_2010,P00020008,P00020008_d,P00020008_pd,P00020009_2010,P00020009,P00020009_d,P00020009_pd,P00020010_2010,P00020010,P00020010_d,P00020010_pd,P00020011_2010,P00020011,P00020011_d,P00020011_pd,P00030001_2010,P00030001,P00030001_d,P00030001_pd,P00030002_2010,P00030002,P00030002_d,P00030002_pd,P00030003_2010,P00030003,P00030003_d,P00030003_pd,P00030004_2010,P00030004,P00030004_d,P00030004_pd,P00030005_2010,P00030005,P00030005_d,P00030005_pd,P00030006_2010,P00030006,P00030006_d,P00030006_pd,P00030007_2010,P00030007,P00030007_d,P00030007_pd,P00030008_2010,P00030008,P00030008_d,P00030008_pd,P00030009_2010,P00030009,P00030009_d,P00030009_pd,P00040001_2010,P00040001,P00040001_d,P00040001_pd,P00040002_2010,P00040002,P00040002_d,P00040002_pd,P00040003_2010,P00040003,P00040003_d,P00040003_pd,P00040004_2010,P00040004,P00040004_d,P00040004_pd,P00040005_2010,P00040005,P00040005_d,P00040005_pd,P00040006_2010,P00040006,P00040006_d,P00040006_pd,P00040007_2010,P00040007,P00040007_d,P00040007_pd,P00040008_2010,P00040008,P00040008_d,P00040008_pd,P00040009_2010,P00040009,P00040009_d,P00040009_pd,P00040010_2010,P00040010,P00040010_d,P00040010_pd,P00040011_2010,P00040011,P00040011_d,P00040011_pd,C0010001_2010,C0010001,C0010001_d,C0010001_pd,C0010002_2010,C0010002,C0010002_d,C0010002_pd,C0010003_2010,C0010003,C0010003_d,C0010003_pd,C0010004_2010,C0010004,C0010004_d,C0010004_pd,C0010005_2010,C0010005,C0010005_d,C0010005_pd,C0010006_2010,C0010006,C0010006_d,C0010006_pd,C0020001_2010,C0020001,C0020001_d,C0020001_pd,C0020002_2010,C0020002,C0020002_d,C0020002_pd,C0020003_2010,C0020003,C0020003_d,C0020003_pd,C0020004_2010,C0020004,C0020004_d,C0020004_pd,C0020005_2010,C0020005,C0020005_d,C0020005_pd,C0020006_2010,C0020006,C0020006_d,C0020006_pd,C0030001_2010,C0030001,C0030001_d,C0030001_pd,C0030002_2010,C0030002,C0030002_d,C0030002_pd,C0030003_2010,C0030003,C0030003_d,C0030003_pd,C0030004_2010,C0030004,C0030004_d,C0030004_pd,C0030005_2010,C0030005,C0030005_d,C0030005_pd,C0030006_2010,C0030006,C0030006_d,C0030006_pd,C0040001_2010,C0040001,C0040001_d,C0040001_pd,C0040002_2010,C0040002,C0040002_d,C0040002_pd,C0040003_2010,C0040003,C0040003_d,C0040003_pd,C0040004_2010,C0040004,C0040004_d,C0040004_pd,C0040005_2010,C0040005,C0040005_d,C0040005_pd,C0040006_2010,C0040006,C0040006_d,C0040006_pd,P00010010_2010,P00010010,P00010010_d,P00010010_pd,P00010011_2010,P00010011,P00010011_d,P00010011_pd,P00010012_2010,P00010012,P00010012_d,P00010012_pd,P00010013_2010,P00010013,P00010013_d,P00010013_pd,P00010014_2010,P00010014,P00010014_d,P00010014_pd,P00010015_2010,P00010015,P00010015_d,P00010015_pd,P00010016_2010,P00010016,P00010016_d,P00010016_pd,P00010017_2010,P00010017,P00010017_d,P00010017_pd,P00010018_2010,P00010018,P00010018_d,P00010018_pd,P00010019_2010,P00010019,P00010019_d,P00010019_pd,P00010020_2010,P00010020,P00010020_d,P00010020_pd,P00010021_2010,P00010021,P00010021_d,P00010021_pd,P00010022_2010,P00010022,P00010022_d,P00010022_pd,P00010023_2010,P00010023,P00010023_d,P00010023_pd,P00010024_2010,P00010024,P00010024_d,P00010024_pd,P00010025_2010,P00010025,P00010025_d,P00010025_pd,T0050001_2010,T0050001,T0050001_d,T0050001_pd,P00050001,P00050002,P00050003,P00050004,P00050005,P00050006,P00050007,P00050008,P00050009,P00050010
00135,00135,Aberdeen Gardens,279,279,0,0,268,279,11,4.10447761194,171.8,171.8,0,0,122,123,1,0.819672131148,114,120,6,5.263157894737,8,3,-5,-62.5,93.44,97.56,4.12,4.409246575342,6.56,2.44,-4.12,-62.8048780488,1.624028373877,1.624028373877,3.89022148E-13,2.39541472E-11,1.650605717092,1.650605717093,3.82582854E-13,2.31783309E-11,1.610156982996,1.610156982995,-7.7915452E-13,-4.8389972E-11,265,259,-6,-2.2641509434,254,245,-9,-3.54330708661,0,1,1,,5,5,0,0,6,3,-3,-50,0,2,2,,0,3,3,,14,20,6,42.85714285714,279,279,0,0,14,13,-1,-7.14285714286,265,266,1,0.377358490566,258,253,-5,-1.93798449612,250,241,-9,-3.6,0,1,1,,2,4,2,100,6,2,-4,-66.6666666667,0,2,2,,0,3,3,,7,13,6,85.71428571429,220,225,5,2.272727272727,211,212,1,0.473933649289,204,202,-2,-0.98039215686,0,1,1,,2,1,-1,-50,5,3,-2,-40,0,2,2,,0,3,3,,9,13,4,44.44444444444,220,225,5,2.272727272727,6,8,2,33.33333333333,214,217,3,1.401869158879,210,207,-3,-1.42857142857,203,199,-4,-1.97044334975,0,1,1,,2,0,-2,-100,5,2,-3,-60,0,2,2,,0,3,3,,4,10,6,150,268,263,-5,-1.86567164179,3,5,2,66.66666666667,10,17,7,70,8,5,-3,-37.5,0,4,4,,4,11,7,175,257,252,-5,-1.94552529183,0,4,4,,7,12,5,71.42857142857,8,4,-4,-50,0,3,3,,0,6,6,,213,213,0,0,1,3,2,200,5,8,3,60,6,5,-1,-16.6666666667,0,3,3,,4,9,5,125,207,207,0,0,0,3,3,,5,5,0,0,6,4,-2,-33.3333333333,0,3,3,,0,6,6,,14,15,1,7.142857142857,3,1,-2,-66.6666666667,5,6,1,20,2,0,-2,-100,0,0,0,,4,6,2,50,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,2,2,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,5,5,,0,0,0,0,0,0,0,0,0,0
00275,00275,Acme,246,229,-17,-6.91056910569,276,292,16,5.797101449275,40.05,152.73,112.68,281.3483146067,109,100,-9,-8.25688073394,95,93,-2,-2.10526315789,14,7,-7,-50,87.16,93,5.84,6.700321248279,12.84,7,-5.84,-45.4828660436,6.141724208761,1.499362931411,-4.64236127735,-75.5872637643,6.145626929546,1.503265652196,-4.64236127735,-75.5392628054,0.063504030257,0.2596161749,0.196112144643,308.8184227833,229,220,-9,-3.93013100437,225,216,-9,-4,1,0,-1,-100,3,0,-3,-100,0,1,1,,0,0,0,,0,3,3,,17,9,-8,-47.0588235294,246,229,-17,-6.91056910569,7,10,3,42.85714285714,239,219,-20,-8.36820083682,227,210,-17,-7.48898678414,223,209,-14,-6.27802690583,1,0,-1,-100,3,0,-3,-100,0,1,1,,0,0,0,,0,0,0,,12,9,-3,-25,199,183,-16,-8.04020100503,189,178,-11,-5.82010582011,186,175,-11,-5.91397849462,1,0,-1,-100,2,0,-2,-100,0,0,0,,0,0,0,,0,3,3,,10,5,-5,-50,199,183,-16,-8.04020100503,3,5,2,66.66666666667,196,178,-18,-9.18367346939,187,173,-14,-7.48663101604,184,173,-11,-5.97826086957,1,0,-1,-100,2,0,-2,-100,0,0,0,,0,0,0,,0,0,0,,9,5,-4,-44.4444444444,239,223,-16,-6.69456066946,5,0,-5,-100,18,5,-13,-72.2222222222,3,3,0,0,0,2,2,,1,6,5,500,232,216,-16,-6.89655172414,5,0,-5,-100,14,5,-9,-64.2857142857,3,3,0,0,0,2,2,,0,3,3,,195,180,-15,-7.69230769231,3,0,-3,-100,10,4,-6,-60,1,0,-1,-100,0,1,1,,1,3,2,200,192,178,-14,-7.29166666667,3,0,-3,-100,10,4,-6,-60,1,0,-1,-100,0,1,1,,0,0,0,,14,8,-6,-42.8571428571,1,0,-1,-100,11,4,-7,-63.6363636364,0,0,0,,0,1,1,,1,1,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,-1,-100,0,0,0,,0,0,0,,0,0,0,,0,2,2,,0,0,0,,3,1,-2,-66.6666666667,0,0,0,0,0,0,0,0,0,0
00380,00380,Addy,268,210,-58,-21.6417910448,270,298,28,10.37037037037,759.65,595.9,-163.75,-21.5559797275,111,100,-11,-9.90990990991,97,83,-14,-14.4329896907,14,17,3,21.42857142857,87.39,83,-4.39,-5.02345806156,12.61,17,4.39,34.81363996828,0.352793526456,0.352408196486,-0.00038532997,-0.10922251734,0.352793526456,0.352408196486,-0.00038532997,-0.10922251734,0,0,0,,242,180,-62,-25.6198347107,224,174,-50,-22.3214285714,1,0,-1,-100,15,2,-13,-86.6666666667,0,4,4,,0,0,0,,2,0,-2,-100,26,30,4,15.38461538462,268,210,-58,-21.6417910448,8,5,-3,-37.5,260,205,-55,-21.1538461538,236,179,-57,-24.1525423729,222,174,-48,-21.6216216216,1,0,-1,-100,13,2,-11,-84.6153846154,0,3,3,,0,0,0,,0,0,0,,24,26,2,8.333333333333,192,166,-26,-13.5416666667,183,145,-38,-20.7650273224,167,139,-28,-16.7664670659,1,0,-1,-100,13,2,-11,-84.6153846154,0,4,4,,0,0,0,,2,0,-2,-100,9,21,12,133.3333333333,192,166,-26,-13.5416666667,5,5,0,0,187,161,-26,-13.9037433155,178,144,-34,-19.1011235955,165,139,-26,-15.7575757576,1,0,-1,-100,12,2,-10,-83.3333333333,0,3,3,,0,0,0,,0,0,0,,9,17,8,88.88888888889,250,204,-46,-18.4,12,1,-11,-91.6666666667,27,17,-10,-37.037037037,5,6,1,20,0,2,2,,3,12,9,300,246,200,-46,-18.6991869919,12,1,-11,-91.6666666667,24,17,-7,-29.1666666667,5,5,0,0,0,2,2,,0,8,8,,176,160,-16,-9.09090909091,2,0,-2,-100,20,12,-8,-40,1,5,4,400,0,1,1,,2,9,7,350,174,156,-18,-10.3448275862,2,0,-2,-100,19,12,-7,-36.8421052632,1,4,3,300,0,1,1,,0,5,5,,23,29,6,26.08695652174,11,0,-11,-100,9,15,6,66.66666666667,2,1,-1,-50,0,1,1,,1,12,11,1100,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,3,1,-2,-66.6666666667,0,0,0,0,0,0,0,0,0,0
00800,00800,Ahtanum,3601,4046,445,12.35767842266,96,88,-8,-8.33333333333,460.38,505.66,45.28,9.83535340371,1383,1532,149,10.77368040492,1331,1468,137,10.29301277235,52,64,12,23.07692307692,96.24,95.82,-0.42,-0.43640897756,3.76,4.18,0.42,11.17021276596,7.821762880755,8.001454060791,0.179691180036,2.297323286015,7.821762880755,8.001454060791,0.179691180036,2.297323286015,0,0,0,,3487,3560,73,2.093490106108,3173,2910,-263,-8.28868578632,9,20,11,122.2222222222,48,54,6,12.5,23,35,12,52.17391304348,3,3,0,0,231,538,307,132.9004329004,114,486,372,326.3157894737,3601,4046,445,12.35767842266,506,1016,510,100.790513834,3095,3030,-65,-2.10016155089,3016,2834,-182,-6.03448275862,2945,2722,-223,-7.57215619694,7,17,10,142.8571428571,35,41,6,17.14285714286,22,31,9,40.90909090909,3,3,0,0,4,20,16,400,79,196,117,148.1012658228,2696,3079,383,14.20623145401,2641,2782,141,5.338886785309,2440,2353,-87,-3.56557377049,7,14,7,100,40,41,1,2.5,21,27,6,28.57142857143,2,3,1,50,131,344,213,162.5954198473,55,297,242,440,2696,3079,383,14.20623145401,281,626,345,122.7758007117,2415,2453,38,1.573498964803,2372,2330,-42,-1.77065767285,2312,2239,-73,-3.15743944637,5,14,9,180,30,34,4,13.33333333333,20,25,5,25,2,3,1,50,3,15,12,400,43,123,80,186.0465116279,3274,3374,100,3.054367745877,33,53,20,60.60606060606,101,195,94,93.06930693069,49,64,15,30.61224489796,16,20,4,25,258,853,595,230.6201550388,3021,2912,-109,-3.60807679576,26,48,22,84.61538461538,81,151,70,86.41975308642,45,49,4,8.888888888889,9,17,8,88.88888888889,7,61,54,771.4285714286,2488,2638,150,6.028938906752,13,31,18,138.4615384615,71,130,59,83.0985915493,34,42,8,23.52941176471,9,13,4,44.44444444444,142,540,398,280.2816901408,2353,2357,4,0.169995750106,10,30,20,200,58,104,46,79.31034482759,33,35,2,6.060606060606,5,12,7,140,5,45,40,800,106,463,357,336.7924528302,15,21,6,40,44,111,67,152.2727272727,17,14,-3,-17.6470588235,0,10,10,,17,286,269,1582.352941176,3,0,-3,-100,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,12,12,,2,4,2,100,1,4,3,300,7,0,-7,-100,8,23,15,187.5,0,0,0,0,0,0,0,0,0,0
01045,01045,Alder,227,212,-15,-6.60792951542,279,296,17,6.093189964158,70.65,65.98,-4.67,-6.61004953999,105,110,5,4.761904761905,86,78,-8,-9.3023255814,19,32,13,68.42105263158,81.9,70.91,-10.99,-13.4188034188,18.1,29.09,10.99,60.7182320442,3.213248478371,3.213249250576,7.722041722E-7,0.000024031885,3.240167522012,3.240168294216,7.722041242E-7,0.000023832228,0.830791724733,0.830791526735,-1.97997604E-7,-0.0000238324,222,185,-37,-16.6666666667,215,178,-37,-17.2093023256,2,1,-1,-50,4,3,-1,-25,1,0,-1,-100,0,0,0,,0,3,3,,5,27,22,440,227,212,-15,-6.60792951542,8,13,5,62.5,219,199,-20,-9.13242009132,214,179,-35,-16.3551401869,209,175,-34,-16.2679425837,2,1,-1,-50,2,3,1,50,1,0,-1,-100,0,0,0,,0,0,0,,5,20,15,300,181,161,-20,-11.0497237569,177,150,-27,-15.2542372881,170,144,-26,-15.2941176471,2,1,-1,-50,4,3,-1,-25,1,0,-1,-100,0,0,0,,0,2,2,,4,11,7,175,181,161,-20,-11.0497237569,6,6,0,0,175,155,-20,-11.4285714286,171,147,-24,-14.0350877193,166,143,-23,-13.8554216867,2,1,-1,-50,2,3,1,50,1,0,-1,-100,0,0,0,,0,0,0,,4,8,4,100,220,204,-16,-7.27272727273,2,3,1,50,8,21,13,162.5,2,2,0,0,0,2,2,,0,10,10,,214,194,-20,-9.34579439252,2,3,1,50,6,16,10,166.6666666667,2,2,0,0,0,2,2,,0,4,4,,174,154,-20,-11.4942528736,2,2,0,0,8,12,4,50,1,1,0,0,0,1,1,,0,3,3,,170,150,-20,-11.7647058824,2,2,0,0,6,9,3,50,1,1,0,0,0,1,1,,0,0,0,,5,24,19,380,0,1,1,,4,14,10,250,1,0,-1,-100,0,2,2,,0,6,6,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,3,3,,0,0,0,0,0,0,0,0,0,0
01150,01150,Alderton,2893,3274,381,13.16972001383,118,111,-7,-5.93220338983,541.35,572.27,30.92,5.711646808904,1160,1295,135,11.63793103448,1096,1255,159,14.50729927007,64,40,-24,-37.5,94.48,96.91,2.43,2.571972904318,5.52,3.09,-2.43,-44.0217391304,5.34405835085,5.721033070423,0.376974719573,7.054090633451,5.482075206526,5.868321397627,0.386246191101,7.045620071786,2.517602376419,2.509888556275,-0.00771382014,-0.30639549022,2801,2903,102,3.641556586933,2538,2528,-10,-0.39401103231,21,34,13,61.90476190476,35,33,-2,-5.71428571429,63,91,28,44.44444444444,15,12,-3,-20,129,205,76,58.91472868217,92,371,279,303.2608695652,2893,3274,381,13.16972001383,208,424,216,103.8461538462,2685,2850,165,6.145251396648,2614,2620,6,0.229533282326,2479,2461,-18,-0.72609923356,19,31,12,63.15789473684,26,23,-3,-11.5384615385,62,88,26,41.93548387097,15,10,-5,-33.3333333333,13,7,-6,-46.1538461538,71,230,159,223.9436619718,2217,2580,363,16.37347767253,2170,2356,186,8.571428571429,2009,2101,92,4.579392732703,17,19,2,11.76470588235,24,26,2,8.333333333333,46,77,31,67.39130434783,11,8,-3,-27.2727272727,63,125,62,98.4126984127,47,224,177,376.5957446809,2217,2580,363,16.37347767253,114,257,143,125.4385964912,2103,2323,220,10.46124583928,2067,2174,107,5.176584421867,1968,2052,84,4.268292682927,16,19,3,18.75,21,16,-5,-23.8095238095,45,75,30,66.66666666667,11,8,-3,-27.2727272727,6,4,-2,-33.3333333333,36,149,113,313.8888888889,2620,2880,260,9.923664122137,41,87,46,112.1951219512,54,133,79,146.2962962963,99,169,70,70.70707070707,22,36,14,63.63636363636,150,378,228,152,2547,2678,131,5.14330585002,36,75,39,108.3333333333,44,113,69,156.8181818182,97,157,60,61.85567010309,16,31,15,93.75,17,49,32,188.2352941176,2052,2313,261,12.71929824561,25,50,25,100,40,101,61,152.5,62,117,55,88.70967741935,12,17,5,41.66666666667,73,226,153,209.5890410959,2002,2192,190,9.490509490509,23,48,25,108.6956521739,36,84,48,133.3333333333,60,112,52,86.66666666667,11,15,4,36.36363636364,7,34,27,385.7142857143,91,336,245,269.2307692308,18,30,12,66.66666666667,15,78,63,420,33,48,15,45.45454545455,1,8,7,700,14,155,141,1007.142857143,1,2,1,100,1,4,3,300,0,0,0,,0,3,3,,1,1,0,0,0,0,0,,1,1,0,0,0,4,4,,1,2,1,100,5,0,-5,-100,1,35,34,3400,15,0,0,0,0,0,15,15,0,0
01185,01185,Alderwood Manor,8442,10198,1756,20.80075811419,41,38,-3,-7.31707317073,4312.43,5317.33,1004.9,23.30240722748,3206,3752,546,17.03056768559,3073,3657,584,19.00423039375,133,95,-38,-28.5714285714,95.85,97.47,1.62,1.69014084507,4.15,2.53,-1.62,-39.0361445783,1.957597100836,1.917880700607,-0.03971640023,-2.02883423828,1.957597100836,1.917880700607,-0.03971640023,-2.02883423828,0,0,0,,8000,9061,1061,13.2625,5796,5641,-155,-2.67425810904,348,816,468,134.4827586207,68,90,22,32.35294117647,1493,1820,327,21.9022103148,60,53,-7,-11.6666666667,235,641,406,172.7659574468,442,1137,695,157.2398190045,8442,10198,1756,20.80075811419,575,1269,694,120.6956521739,7867,8929,1062,13.49942799034,7490,8216,726,9.692923898531,5543,5432,-111,-2.0025257081,342,800,458,133.918128655,57,65,8,14.0350877193,1475,1806,331,22.4406779661,60,50,-10,-16.6666666667,13,63,50,384.6153846154,377,713,336,89.12466843501,6494,7964,1470,22.63627964275,6276,7251,975,15.53537284895,4590,4663,73,1.590413943355,255,549,294,115.2941176471,54,63,9,16.66666666667,1163,1490,327,28.11693895099,51,45,-6,-11.7647058824,163,441,278,170.5521472393,218,713,495,227.0642201835,6494,7964,1470,22.63627964275,365,873,508,139.1780821918,6129,7091,962,15.69587208354,5941,6681,740,12.45581551927,4430,4521,91,2.054176072235,253,546,293,115.8102766798,45,38,-7,-15.5555555556,1151,1483,332,28.84448305821,51,42,-9,-17.6470588235,11,51,40,363.6363636364,188,410,222,118.085106383,6175,6712,537,8.696356275304,469,1010,541,115.3518123667,162,306,144,88.88888888889,1723,2167,444,25.76900754498,119,132,13,10.9243697479,295,1106,811,274.9152542373,5868,6100,232,3.953646898432,452,975,523,115.7079646018,141,220,79,56.02836879433,1682,2123,441,26.21878715815,117,116,-1,-0.8547008547,31,161,130,419.3548387097,4775,5325,550,11.51832460733,298,644,346,116.1073825503,114,241,127,111.4035087719,1268,1668,400,31.54574132492,88,88,0,0,193,770,577,298.9637305699,4589,4895,306,6.668119415995,293,628,335,114.3344709898,100,161,61,61,1245,1640,395,31.72690763052,88,80,-8,-9.09090909091,21,117,96,457.1428571429,389,1044,655,168.3804627249,73,142,69,94.52054794521,58,143,85,146.5517241379,148,262,114,77.02702702703,14,20,6,42.85714285714,34,415,381,1120.588235294,1,7,6,600,10,12,2,20,3,2,-1,-33.3333333333,12,5,-7,-58.3333333333,2,3,1,50,0,0,0,,0,9,9,,27,19,-8,-29.6296296296,7,2,-5,-71.4285714286,0,3,3,,53,93,40,75.47169811321,77,0,0,0,0,0,77,0,0,77
01255,01255,Alger,403,507,104,25.8064516129,246,237,-9,-3.65853658537,155.27,194.58,39.31,25.31718941199,176,195,19,10.79545454545,162,183,21,12.96296296296,14,12,-2,-14.2857142857,92.05,93.85,1.8,1.95545898968,7.95,6.15,-1.8,-22.641509434,2.595495423145,2.605581956363,0.010086533218,0.388616875541,2.601561088314,2.611647621532,0.010086533218,0.38771079655,0.233154823708,0.232254348523,-0.00090047518,-0.3862134054,395,465,70,17.72151898734,358,405,47,13.12849162011,0,4,4,,9,10,1,11.11111111111,7,16,9,128.5714285714,0,0,0,,21,30,9,42.85714285714,8,42,34,425,403,507,104,25.8064516129,34,72,38,111.7647058824,369,435,66,17.88617886179,364,414,50,13.73626373626,349,383,34,9.74212034384,0,4,4,,8,8,0,0,7,16,9,128.5714285714,0,0,0,,0,3,3,,5,21,16,320,324,388,64,19.75308641975,320,363,43,13.4375,292,326,34,11.64383561644,0,4,4,,7,9,2,28.57142857143,7,10,3,42.85714285714,0,0,0,,14,14,0,0,4,25,21,525,324,388,64,19.75308641975,23,38,15,65.21739130435,301,350,49,16.27906976744,297,340,43,14.47811447811,284,318,34,11.97183098592,0,4,4,,6,7,1,16.66666666667,7,10,3,42.85714285714,0,0,0,,0,1,1,,4,10,6,150,366,444,78,21.31147540984,4,9,5,125,12,24,12,100,7,25,18,257.1428571429,0,2,2,,22,51,29,131.8181818182,354,404,50,14.12429378531,2,7,5,250,11,18,7,63.63636363636,7,23,16,228.5714285714,0,1,1,,0,7,7,,296,349,53,17.90540540541,1,4,3,300,10,16,6,60,7,15,8,114.2857142857,0,0,0,,14,31,17,121.4285714286,288,328,40,13.88888888889,1,4,3,300,9,11,2,22.22222222222,7,13,6,85.71428571429,0,0,0,,0,4,4,,8,36,28,350,4,5,1,25,3,8,5,166.6666666667,0,4,4,,0,0,0,,1,16,15,1500,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,,0,1,1,,0,1,1,,0,6,6,,0,0,0,0,0,0,0,0,0,0
01430,01430,Allyn,1963,2194,231,11.76770249618,151,146,-5,-3.31125827815,1244.53,1373.49,128.96,10.36214474541,1001,1070,69,6.893106893107,873,986,113,12.94387170676,128,84,-44,-34.375,87.21,92.15,4.94,5.664488017429,12.79,7.85,-4.94,-38.6239249414,1.577296111024,1.597386165497,0.020090054472,1.273702149629,1.658381042692,1.659452090126,0.001071047434,0.064583916885,4.889402952654,3.740145617884,-1.14925733477,-23.5050648494,1905,2051,146,7.664041994751,1844,1924,80,4.338394793926,12,17,5,41.66666666667,8,15,7,87.5,28,38,10,35.71428571429,2,6,4,200,11,51,40,363.6363636364,58,143,85,146.5517241379,1963,2194,231,11.76770249618,45,115,70,155.5555555556,1918,2079,161,8.394160583942,1863,1973,110,5.904455179817,1814,1898,84,4.630650496141,12,15,3,25,8,9,1,12.5,27,33,6,22.22222222222,2,6,4,200,0,12,12,,55,106,51,92.72727272727,1666,1880,214,12.84513805522,1631,1784,153,9.380748007357,1579,1688,109,6.903103229892,9,14,5,55.55555555556,8,13,5,62.5,25,32,7,28,2,5,3,150,8,32,24,300,35,96,61,174.2857142857,1666,1880,214,12.84513805522,33,73,40,121.2121212121,1633,1807,174,10.6552357624,1600,1734,134,8.375,1557,1671,114,7.321772639692,9,12,3,33.33333333333,8,9,1,12.5,24,28,4,16.66666666667,2,5,3,150,0,9,9,,33,73,40,121.2121212121,1898,2062,164,8.640674394099,21,36,15,71.42857142857,38,75,37,97.36842105263,45,64,19,42.22222222222,6,13,7,116.6666666667,14,108,94,671.4285714286,1866,2004,138,7.395498392283,19,31,12,63.15789473684,38,55,17,44.73684210526,44,57,13,29.54545454545,6,11,5,83.33333333333,0,39,39,,1610,1780,170,10.55900621118,16,24,8,50,30,58,28,93.33333333333,31,43,12,38.70967741935,5,8,3,60,10,76,66,660,1587,1744,157,9.892879647133,14,20,6,42.85714285714,30,44,14,46.66666666667,30,39,9,30,5,8,3,60,0,31,31,,57,125,68,119.298245614,7,11,4,57.14285714286,28,43,15,53.57142857143,15,19,4,26.66666666667,2,4,2,100,1,44,43,4300,0,0,0,,0,1,1,,0,0,0,,1,0,-1,-100,1,0,-1,-100,1,0,-1,-100,0,3,3,,1,0,-1,-100,0,0,0,,0,0,0,,1,18,17,1700,9,9,0,0,9,0,0,0,0,0
01745,01745,Altoona,39,56,17,43.58974358974,339,345,6,1.769911504425,7.66,11,3.34,43.60313315927,34,34,0,0,20,23,3,15,14,11,-3,-21.4285714286,58.82,67.65,8.83,15.01190071404,41.18,32.35,-8.83,-21.4424477902,5.091108916335,5.091105827515,-3.08881975E-6,-0.00006067086,5.091108916335,8.245011559899,3.153902643565,61.94922747469,0,38.25228999949,38.25228999949,,34,49,15,44.11764705882,31,45,14,45.16129032258,0,2,2,,3,2,-1,-33.3333333333,0,0,0,,0,0,0,,0,0,0,,5,7,2,40,39,56,17,43.58974358974,2,2,0,0,37,54,17,45.94594594595,32,49,17,53.125,29,45,16,55.1724137931,0,2,2,,3,2,-1,-33.3333333333,0,0,0,,0,0,0,,0,0,0,,5,5,0,0,38,50,12,31.57894736842,33,45,12,36.36363636364,30,41,11,36.66666666667,0,2,2,,3,2,-1,-33.3333333333,0,0,0,,0,0,0,,0,0,0,,5,5,0,0,38,50,12,31.57894736842,2,1,-1,-50,36,49,13,36.11111111111,31,45,14,45.16129032258,28,41,13,46.42857142857,0,2,2,,3,2,-1,-33.3333333333,0,0,0,,0,0,0,,0,0,0,,5,4,-1,-20,36,52,16,44.44444444444,0,3,3,,8,5,-3,-37.5,0,0,0,,0,1,1,,0,4,4,,34,50,16,47.05882352941,0,3,3,,8,5,-3,-37.5,0,0,0,,0,1,1,,0,2,2,,35,46,11,31.42857142857,0,2,2,,8,4,-4,-50,0,0,0,,0,0,0,,0,3,3,,33,45,12,36.36363636364,0,2,2,,8,4,-4,-50,0,0,0,,0,0,0,,0,2,2,,5,6,1,20,0,0,0,,5,2,-3,-60,0,0,0,,0,0,0,,0,4,4,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,1,1,,0,0,0,0,0,0,0,0,0,0
